level,name,race_eth,age_grp,tenure,count,count_se,share,share_se
state,Connecticut,latino,ages35_64,other,1697,320.23499763759565,0.014357386397285888,0.0026862103662182966
state,Connecticut,latino,ages65plus,owned,9032,595.185850616002,0.37528566086342297,0.02074238710089564
state,Connecticut,latino,ages65plus,rented,14830,879.6638384997665,0.6161964515726929,0.020869336968545805
state,Connecticut,latino,ages65plus,other,205,86.62849428223551,0.008517887563884156,0.003588776331172143
state,Connecticut,asian,total,owned,33623,1117.721135230657,0.6085170304412351,0.013188752335835063
state,Connecticut,asian,total,rented,20258,874.4391166583551,0.3666340898396496,0.012772502114886179
state,Connecticut,asian,total,other,1373,373.59271395580515,0.02484887971911536,0.006625164010314395
state,Connecticut,asian,under35,owned,3282,326.7878537599946,0.23935239206534423,0.021620084012954663
state,Connecticut,asian,under35,rented,9873,609.4007954408161,0.7200262543757293,0.025963758952592418
state,Connecticut,asian,under35,other,557,284.88884755971185,0.04062135355892649,0.02003852217046529
state,Connecticut,asian,ages35_64,owned,25809,1009.5133271123041,0.7263388962373005,0.014809677629515893
state,Connecticut,asian,ages35_64,rented,9272,595.8523926406655,0.26094053415135227,0.014520219967202227
state,Connecticut,asian,ages35_64,other,452,150.17771655889158,0.012720569611347198,0.004194158921927901
state,Connecticut,asian,ages65plus,owned,4532,360.16112574654136,0.7542020302879014,0.0379107999321881
state,Connecticut,asian,ages65plus,rented,1113,203.78793151394623,0.18522216674987518,0.030356050441803194
state,Connecticut,asian,ages65plus,other,364,189.40588529949926,0.060575802962223334,0.029904735517844727
state,Connecticut,other_race,total,owned,18167,840.6051000579054,0.5125260960334029,0.017582489551553962
state,Connecticut,other_race,total,rented,16627,893.3692101917707,0.46907972690853694,0.017615831094495087
state,Connecticut,other_race,total,other,652,181.4008659058694,0.018394177058060148,0.005064409131033495
state,Connecticut,other_race,under35,owned,2273,278.6551729976549,0.25124350613463026,0.028156810046153027
state,Connecticut,other_race,under35,rented,6592,572.4948699974904,0.7286393279540179,0.029322778441789085
state,Connecticut,other_race,under35,other,182,96.35170961325802,0.02011716591135183,0.010531914982370515
state,Connecticut,other_race,ages35_64,owned,12719,684.8007443300501,0.6031964336526605,0.022176658419428716
state,Connecticut,other_race,ages35_64,rented,8198,626.7922712359498,0.3887887697998672,0.022186319889032267
state,Connecticut,other_race,ages35_64,other,169,56.34384948161437,0.008014796547472256,0.0026743278831397282
state,Connecticut,other_race,ages65plus,owned,3175,402.8029266920227,0.5975908149821193,0.04691822767369024
state,Connecticut,other_race,ages65plus,rented,1837,282.59670780587265,0.34575569358178054,0.044565712393772466
state,Connecticut,other_race,ages65plus,other,301,143.0104047503239,0.05665349143610013,0.02592977008652982
region,Backus Hospital HSA,total,total,owned,33130.026266499626,898.372983114132,0.7188639140862766,0.010985928946788301
region,Backus Hospital HSA,total,total,rented,12286.783665539038,597.2717076021373,0.26660182295937335,0.010863954433051723
region,Backus Hospital HSA,total,total,other,669.8354222632963,123.08508565019244,0.014534262954349975,0.0026539558592633974
region,Backus Hospital HSA,total,under35,owned,3980.407514435149,330.9079947862529,0.5197225468311065,0.030875713306124528
region,Backus Hospital HSA,total,under35,rented,3606.099345445892,335.2821657045157,0.47084905983730274,0.030897734541505375
